Japanese,English
hanasu,to talk
oshieru,to teach
kayou,to go back and forth
furu,to fall (rain/snow)
sakura,cherry blossom
shiru,to know
megane,glasses
kakeru,to make a call
masuku,mask
kaburu,to put on (hat)
kekkonsuru,to marry
hajimaru,to start
sumu,to live
rouka,hallway
peji,page
haru,to stick
noru,to ride
kitte,stamp
nugu,to take off
hiragana,hiragana
katakana,katakana
oboeru,to remember
sutsu,suit
mizu,water
soudansuru,to discuss
watasu,to deliver
keki,cake
naku,to cry
warau,to laugh/smile
sakebu,to shout
yume,dream
akachan,baby
yaoya,greengrocer
apato,apartment
kau,to raise
pasupoto,passport
